Subfamily,Substrate_1,Substrate_2,Substrate_3,Substrate_4,Substrate_5
AA1,,,,,
AA2,,,,,
AA3,,,,,
AA3_2,,,,,
AA3_4,,,,,
AA4,,,,,
AA5,,,,,
AA6,,,,,
AA7,,,,,
AA8,,,,,
AA9,,,,,
AA10,,,,,
AA11,,,,,
AA12,,,,,
AA13,,,,,
AA14,,,,,
AA15,,,,,
AA16,,,,,
CBM1,DF,,,,
CBM2,DF,,,,
CBM3,DF,,,,
CBM4,DF,,,,
CBM5,DF,,,,
CBM6,DF,,,,
CBM8,DF,,,,
CBM9,DF,,,,
CBM10,DF,,,,
CBM11,DF,,,,
CBM12,DF,,,,
CBM13,DF,,,,
CBM14,DF,,,,
CBM15,DF,,,,
CBM16,DF,,,,
CBM17,DF,,,,
CBM18,DF,,,,
CBM19,DF,,,,
CBM20,DF,,,,
CBM21,DF,,,,
CBM22,DF,,,,
CBM23,DF,,,,
CBM24,DF,,,,
CBM25,DF,,,,
CBM26,DF,,,,
CBM27,DF,,,,
CBM28,DF,,,,
CBM29,DF,,,,
CBM30,DF,,,,
CBM31,DF,,,,
CBM32,DF,Mucin,,,
CBM34,DF,,,,
CBM35,DF,,,,
CBM36,DF,,,,
CBM37,DF,,,,
CBM38,DF,,,,
CBM39,DF,,,,
CBM40,Unknown,,,,
CBM41,DF,,,,
CBM42,DF,,,,
CBM43,DF,,,,
CBM44,DF,,,,
CBM45,DF,,,,
CBM46,DF,,,,
CBM47,Unknown,,,,
CBM48,Glycogen,,,,
CBM49,DF,,,,
CBM50,DF,PG,,,
CBM51,Mucin,,,,
CBM52,DF,,,,
CBM53,DF,,,,
CBM54,DF,,,,
CBM55,DF,,,,
CBM56,DF,,,,
CBM57,DF,,,,
CBM58,DF,,,,
CBM59,DF,,,,
CBM60,DF,,,,
CBM61,DF,,,,
CBM62,DF,,,,
CBM63,DF,,,,
CBM64,DF,,,,
CBM65,DF,,,,
CBM66,DF,,,,
CBM67,DF,,,,
CBM68,DF,,,,
CBM69,DF,,,,
CBM70,GAG,,,,
CBM71,Mucin,Other,,,
CBM72,DF,,,,
CBM73,DF,,,,
CBM74,DF,,,,
CBM75,DF,,,,
CBM76,DF,,,,
CBM77,DF,,,,
CBM78,DF,,,,
CBM79,DF,,,,
CBM80,DF,,,,
CBM81,DF,,,,
CBM82,DF,,,,
CBM83,DF,,,,
CBM84,DF,,,,
CBM85,DF,,,,
CBM86,DF,,,,
CBM87,Unknown,,,,
CE1,,,,,
CE2,,,,,
CE3,,,,,
CE4,,,,,
CE5,,,,,
CE6,,,,,
CE7,,,,,
CE8,,,,,
CE9,,,,,
CE11,,,,,
CE12,,,,,
CE13,,,,,
CE14,,,,,
CE15,,,,,
CE16,,,,,
CE17,,,,,
CE18,,,,,
GH1,DF,,,,
GH2,DF,Mucin,Other,,
GH3,DF,GAG,,,
GH4,DF,,,,
GH5,DF,,,,
GH5_1,DF,,,,
GH5_2,DF,,,,
GH5_4,DF,,,,
GH5_5,DF,,,,
GH5_7,DF,,,,
GH5_8,DF,,,,
GH5_9,DF,,,,
GH5_10,DF,,,,
GH5_11,DF,,,,
GH5_12,DF,,,,
GH5_13,DF,Glycogen,,,
GH5_14,DF,,,,
GH5_15,DF,,,,
GH5_16,DF,,,,
GH5_17,DF,,,,
GH5_18,DF,Mucin,,,
GH5_19,DF,,,,
GH5_20,DF,,,,
